Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2023-01-19,372.5687255859375,374.9077982389386,371.24578754272824,373.25892360264237,86958900
2023-01-20,379.5093078613281,379.6626949440639,372.31945292080763,373.9683274907241,91806400
2023-01-23,384.0628356933594,385.9992925218667,379.3558743905331,380.31452159871134,84178800
2023-01-24,383.650634765625,384.56133208460926,381.19650018692624,382.3852133953482,59524900
2023-01-25,383.79443359375,384.12996598342204,377.2852105542449,379.57639153162364,84800300
2023-01-26,388.0124816894531,388.1754645974599,383.4876654146606,386.4594777963223,72287400
2023-01-27,388.9040222167969,391.28147800741476,386.7566616675893,386.967565239786,68346200
2023-01-30,384.0245361328125,388.3768032673917,383.7273577965346,386.14313857209555,74202000
2023-01-31,389.67095947265625,389.7188801347345,384.19706240377985,384.5421906397612,86811800
2023-02-01,393.8122863769531,396.5636286134995,385.7117345077939,388.45345165426824,101459200
2023-02-02,399.5450134277344,401.01174260046105,395.8062948752539,397.704397771963,101654500
2023-02-03,395.2982482910156,399.7271944530263,394.090343244796,394.56966692909316,94736800
2023-02-06,392.8823547363281,394.28200066117023,391.2239138645533,392.844029913755,60295300
2023-02-07,398.0207824707031,399.2670122823971,390.7158945853212,391.9621243970152,90990700
2023-02-08,393.6685485839844,397.3881051733377,392.9783212864178,396.04600466573515,76227500
2023-02-09,390.2557373046875,397.4264298512411,389.02866989488314,397.2730427680662,78694900
2023-02-10,391.16650390625,391.5499570255399,388.2618033756223,389.07663028326425,70769700
2023-02-13,395.7582702636719,395.89249490064,391.3580835759682,391.8182447169601,64913500
2023-02-14,395.5762023925781,397.8865164448738,391.61698469819703,394.2340728818384,88389300
2023-02-15,396.8608093261719,396.9374882356896,392.5373007553342,393.38091503799455,61555700
2023-02-16,391.3965148925781,395.83505653186137,391.2623194847148,391.8854343728946,76431500
2023-02-17,390.4186706542969,390.6583324559055,387.34139205761664,389.2682823043391,89257800
2023-02-21,382.5865173339844,387.44686578378213,382.3276931153695,386.39234798566156,82655900
2023-02-22,382.059326171875,384.54221931792307,380.6021634644275,382.9987818589444,83742300
2023-02-23,384.0916748046875,385.5680000076678,379.86403621587823,384.95445162257573,96242400
2023-02-24,379.98858642578125,380.82260481900255,377.36190242771124,379.06829329418446,108194400
2023-02-27,381.2828369140625,384.69561928163296,380.3433519399528,383.33432711552274,80444700
2023-02-28,379.8735656738281,382.76866981415725,379.7680992642455,380.8034546692743,96438600
2023-03-01,378.4164123535156,380.285786224129,377.11266611466596,379.05871889408525,99706800
2023-03-02,381.35943603515625,382.20305024263513,376.1060389057773,376.4415712731506,85127800
2023-03-03,387.4756774902344,387.724935164796,382.5290536184137,383.1809267997028,90120000
2023-03-06,387.7441101074219,390.60088985503444,387.30314050060804,388.3001127198744,72795900
2023-03-07,381.8004150390625,387.93578060753197,381.18689603557027,387.69611880425083,108310600
2023-03-08,382.42352294921875,383.1808331119088,380.1898587708449,381.91544114455843,74746600
2023-03-09,375.3679504394531,384.87774493306273,374.38054484861016,383.20967866619384,111945300
2023-03-10,369.9515686035156,376.901761257044,368.4273229667233,374.82148382483746,189253000
2023-03-13,369.42431640625,374.24634050095773,364.90909573022645,366.021130129731,157790000
2023-03-14,375.5308837890625,377.17975816787913,371.0443925918974,374.35173718346283,149752400
2023-03-15,373.1822204589844,373.38352820078774,367.84254796683757,369.9324213189262,172996900
2023-03-16,379.729736328125,380.074864540284,370.3158428605711,370.8239247170232,143254200
2023-03-17,375.2897033691406,379.5334763060183,373.9039803951704,378.3979622867853,140553400
2023-03-20,378.8983154296875,379.3121292855333,375.3666692245707,376.06913373609086,93055800
2023-03-21,383.8734436035156,384.3545965453815,380.6689485650316,382.26637985609574,91524200
2023-03-22,377.3298034667969,387.318544760657,377.29133237000224,383.70029405624626,111746600
2023-03-23,378.3498229980469,384.239130397535,375.6361133164018,380.1974338773298,119351300
2023-03-24,380.83258056640625,380.9191845780308,374.7219318967555,377.06996076940004,107682400
2023-03-27,381.544677734375,383.88310351821207,380.6497402466303,383.11324113581304,74010400
2023-03-28,380.68829345703125,381.54473060251513,378.8502853088847,380.8518690459743,62871700
2023-03-29,386.22149658203125,386.46207306808367,383.6521267894026,384.8550092196648,77497900
2023-03-30,388.4828796386719,389.1083725616801,386.6160039583287,388.85816364557934,69840000
2023-03-31,393.9584655761719,394.25677808538353,389.3008787149844,389.4067476454537,112062600
2023-04-03,395.45965576171875,395.8638078292274,393.0442583450311,393.43880732243116,67391100
2023-04-04,393.26556396484375,396.39305813101834,391.8894442126204,396.10434874148575,66601500
2023-04-05,392.2359313964844,393.2944738697264,390.5807639021192,392.53424390704595,65200200
2023-04-06,393.7660217285156,394.0450987106506,390.3883180373403,391.4372281258298,63743300
2023-04-10,394.1700744628906,394.24707537446494,390.6672965345812,391.28315699096,63681000
2023-04-11,394.2760314941406,395.6809900883233,393.50619840980073,394.7956849780574,59297900
2023-04-12,392.66900634765625,396.63373228939827,392.0820137020243,396.3450228287615,86420400
2023-04-13,397.8846435546875,398.2406920585318,392.6111963601302,393.75634279356007,85814800
2023-04-14,396.91265869140625,399.4435277503079,394.6031305479948,397.24947160898046,78161500
2023-04-17,398.3369140625,398.35614960865223,395.59433632263926,396.8260867230395,66436400
2023-04-18,398.59674072265625,400.0498321097644,397.2206502574761,399.9150951800139,63560000
2023-04-19,398.5294189453125,399.43395956292494,396.6240425026219,396.68177851295354,55227300
2023-04-20,396.35455322265625,398.1059569841909,394.805225474454,395.709795357126,75840400
2023-04-21,396.6624755859375,397.124363590132,394.70899592221565,396.6528431301023,73457400
2023-04-24,397.07635498046875,397.49977199704205,395.122874849699,396.4604650046347,64332100
2023-04-25,390.7731628417969,395.661693208056,390.7154268377835,395.103539346267,97766700
2023-04-26,389.1180419921875,392.46687746099377,388.5599174310108,391.38909943441206,80447000
2023-04-27,396.8646545410156,397.13409906910863,391.4083661380691,391.65857511674506,92968400
2023-04-28,400.25189208984375,400.2615245465103,395.92151547329547,395.9792514788031,89433100
